Jahr  Januar  Februar  März  April  Mai  Juni  Juli  August  	September  Oktober  November  Dezember  Summe
1946 	40.8 	121.0 	16.2 	29.8 	78.2 	136.7 	49.8 	66.8 	32.0 	59.1 	35.6 	19.9 	685.9
1947 	33.1 	47.3 	102.0 	40.0 	53.7 	38.7 	56.9 	16.9 	39.2 	24.9 	105.0 	153.0 	710.7
1948 	130.0 	38.4 	19.0 	38.7 	43.9 	106.4 	77.5 	99.7 	25.6 	34.8 	39.2 	30.8 	684.0
1949 	37.0 	16.0 	29.0 	56.0 	92.0 	21.3 	8.0 	55.6 	25.5 	44.0 	45.6 	55.4 	485.4
1950 	26.7 	96.9 	9.3 	83.1 	80.7 	84.9 	120.5 	149.3 	79.5 	23.5 	129.7 	47.3 	931.4
1951 	76.0 	50.7 	60.1 	49.1 	57.3 	168.2 	41.9 	80.4 	47.2 	45.2 	109.5 	45.9 	831.5
1952 	55.4 	63.9 	135.0 	35.6 	21.6 	73.1 	6.1 	61.3 	89.0 	109.0 	143.0 	85.6 	878.6
1953 	26.4 	52.3 	5.0 	33.6 	58.2 	112.1 	130.1 	25.4 	33.3 	25.2 	8.2 	21.2 	531.0
1954 	52.4 	35.0 	21.0 	66.7 	63.7 	53.0 	67.7 	108.0 	108.1 	49.8 	39.9 	61.9 	727.2
1955 	122.0 	56.0 	25.4 	27.8 	87.0 	100.7 	87.8 	45.3 	42.6 	31.3 	10.3 	108.8 	745.0
1956 	55.8 	16.9 	25.2 	89.7 	64.7 	45.8 	92.5 	79.3 	38.0 	103.0 	44.9 	20.8 	676.6
1957 	34.0 	101.1 	40.9 	32.0 	45.1 	174.5 	76.2 	117.4 	115.8 	14.3 	19.4 	49.8 	820.5
1958 	79.0 	148.4 	31.7 	34.6 	86.3 	73.3 	69.2 	110.9 	45.9 	53.0 	45.4 	95.6 	873.3
1959 	65.0 	0.5 	33.5 	69.6 	11.9 	46.1 	34.1 	61.2 	13.8 	52.9 	22.9 	44.6 	456.1
1960 	53.2 	64.3 	25.5 	23.0 	79.3 	45.2 	99.2 	106.8 	18.9 	89.9 	88.5 	70.6 	764.4
1961 	86.6 	53.0 	13.3 	89.8 	103.0 	86.8 	91.5 	81.7 	18.2 	43.4 	50.5 	78.0 	795.8
1962 	69.0 	64.0 	71.0 	43.0 	68.0 	28.9 	48.5 	42.6 	51.5 	12.6 	25.7 	53.9 	578.7
